iter	Passed	Remaining
581	34391	261067
582	34410	260706
583	34472	260669
584	34537	260656
585	34605	260664
586	34673	260671
587	34686	260264
588	34755	260280
589	34816	260239
590	34824	259795
591	34889	259782
592	34951	259751
593	34975	259427
594	35042	259431
595	35055	259032
596	35120	259020
597	35187	259023
598	35250	258992
599	35275	258686
600	35294	258339
601	35361	258337
602	35373	257941
603	35439	257935
604	35508	257948
605	35524	257579
606	35583	257522
607	35653	257550
608	35719	257541
609	35790	257574
610	35803	257188
611	35872	257204
612	35938	257200
613	35949	256800
614	36021	256836
615	36082	256796
616	36147	256785
617	36215	256788
618	36227	256399
619	36289	256371
620	36313	256063
621	36383	256090
622	36450	256087
623	36513	256060
624	36568	255981
625	36640	256017
626	36656	255659
627	36721	255645
628	36782	255606
629	36848	255600
630	36857	255200
631	36922	255183
632	36988	255176
633	37055	255178
634	37126	255204
635	37194	255216
636	37265	255240
637	37287	254934
638	37350	254905
639	37410	254860
640	37416	254445
641	37470	254357
642	37490	254040
643	37562	254071
644	37625	254041
645	37692	254042
646	37758	254036
647	37821	254009
648	37887	254000
649	37955	254012
650	38014	253955
651	38081	253956
652	38105	253665
653	38175	253687
654	38240	253670
655	38310	253687
656	38376	253682
657	38435	253630
658	38506	253652
659	38570	253632
660	38637	253625
661	38696	253571
662	38758	253540
663	38824	253528
664	38889	253513
665	38926	253314
666	38990	253291
667	39059	253300
668	39121	253267
669	39182	253222
670	39242	253178
671	39253	252810
672	39317	252788
673	39356	252602
674	39434	252675
675	39499	252656
676	39569	252670
677	39632	252640
678	39696	252621
679	39767	252638
680	39831	252619
681	39896	252601
682	39963	252594
683	40026	252567
684	40090	252541
685	40158	252539
686	40224	252529
687	40284	252483
688	40349	252461
689	40412	252433
690	40480	252434
691	40543	252402
692	40611	252398
693	40684	252433
694	40748	252403
695	40807	252348
696	40868	252303
697	40938	252314
698	41000	252278
699	41061	252232
700	41124	252204
701	41195	252219
702	41257	252182
703	41325	252182
704	41388	252145
705	41425	251958
706	41496	251970
707	41517	251686
708	41585	251683
709	41643	251617
710	41710	251613
711	41771	251568
712	41841	251577
713	41909	251573
714	41974	251554
715	42060	251655
716	42088	251415
717	42177	251535
718	42261	251631
719	42347	251729
720	42428	251802
721	42455	251559
722	42537	251635
723	42621	251725
724	42714	251868
725	42796	251947
726	42863	251936
727	42928	251910
728	42952	251646
729	43011	251587
730	43062	251485
731	43125	251448
732	43193	251443
733	43261	251435
734	43319	251373
735	43388	251369
736	43408	251088
737	43481	251109
738	43557	251149
739	43629	251162
740	43691	251121
741	43750	251061
742	43758	250713
743	43823	250690
744	43895	250702
745	43953	250643
746	44017	250608
747	44076	250553
748	44148	250567
749	44213	250543
750	44287	250567
751	44354	250557
752	44429	250589
753	44495	250569
754	44569	250591
755	44641	250609
756	44714	250623
757	44794	250683
758	44867	250700
759	44939	250717
760	45014	250742
761	45086	250754
762	45151	250730
763	45222	250735
764	45280	250670
765	45342	250624
766	45358	250327
767	45415	250256
768	45474	250200
769	45538	250163
770	45607	250161
771	45684	250197
772	45752	250186
773	45819	250174
774	45879	250114
775	45945	250094
776	46012	250078
777	46071	250017
778	46132	249966
779	46193	249917
780	46258	249893
781	46325	249875
782	46393	249860
783	46459	249839
784	46523	249805
785	46575	249707
786	46632	249634
787	46706	249654
788	46768	249609
789	46830	249567
790	46886	249486
791	46955	249480
792	46977	249223
793	47055	249263
794	47112	249192
795	47180	249177
796	47254	249195
797	47322	249183
